device_id,date,score_likelihood,pulse_hourly
D103,2024-01-01,68.07054515547668,"[4, 5, 4, 6, 0, 3, 2, 7, 2, 7, 3, 4, 3, 5, 4, 4, 2, 2, 2, 5, 3, 12, 7, 3]"
D436,2024-01-02,53.09345833171364,"[6, 3, 7, 7, 4, 6, 2, 5, 11, 4, 7, 6, 8, 3, 6, 5, 8, 3, 4, 2, 4, 5, 7, 5]"
D861,2024-01-03,44.77831645730917,"[1, 7, 3, 4, 1, 6, 12, 5, 6, 3, 7, 8, 2, 5, 4, 1, 6, 4, 4, 5, 4, 7, 6, 3]"
D271,2024-01-04,55.28930890713279,"[4, 3, 4, 1, 10, 5, 7, 3, 0, 4, 9, 9, 9, 3, 5, 9, 5, 7, 8, 4, 6, 4, 4, 4]"
D107,2024-01-05,59.26967238793935,"[5, 6, 4, 2, 4, 7, 6, 7, 4, 10, 6, 9, 4, 8, 8, 7, 4, 7, 4, 5, 7, 2, 9, 6]"
D072,2024-01-07,8.085332633271525,"[6, 2, 0, 1, 7, 10, 5, 3, 4, 8, 8, 4, 3, 1, 1, 4, 3, 7, 2, 10, 5, 5, 5, 6]"
D701,2024-01-08,36.96544560614045,"[6, 5, 1, 4, 8, 6, 4, 5, 3, 4, 4, 3, 6, 6, 7, 4, 0, 4, 6, 8, 6, 4, 2, 3]"
D021,2024-01-09,24.215993827742587,"[4, 5, 6, 10, 2, 5, 5, 4, 7, 11, 6, 5, 1, 4, 4, 8, 3, 8, 7, 3, 5, 3, 6, 4]"
D615,2024-01-10,80.31397563798959,"[6, 7, 3, 3, 5, 1, 6, 4, 3, 5, 7, 7, 5, 9, 7, 2, 10, 4, 7, 5, 7, 8, 5, 4]"
D122,2024-01-11,47.03006344460384,"[6, 10, 4, 4, 3, 5, 2, 8, 6, 6, 4, 6, 3, 4, 4, 5, 2, 3, 7, 8, 5, 1, 7, 7]"
D467,2024-01-13,98.34231408948429,"[3, 7, 2, 4, 5, 6, 3, 8, 4, 7, 2, 5, 7, 5, 3, 7, 4, 4, 3, 8, 5, 3, 5, 3]"
D215,2024-01-14,39.88244424445531,"[4, 2, 4, 3, 7, 4, 5, 4, 5, 4, 6, 9, 3, 8, 5, 1, 3, 5, 4, 6, 5, 5, 4, 9]"
D331,2024-01-15,81.6431873219384,"[6, 7, 3, 2, 3, 2, 7, 2, 5, 5, 7, 5, 6, 7, 3, 6, 8, 3, 6, 5, 3, 4, 6, 6]"
D459,2024-01-16,79.83451249845511,"[7, 6, 5, 2, 5, 9, 3, 9, 2, 1, 4, 3, 4, 5, 1, 3, 5, 3, 12, 2, 3, 4, 9, 5]"
D088,2024-01-17,15.071754396542946,"[3, 3, 4, 4, 7, 6, 3, 6, 6, 4, 7, 4, 7, 3, 4, 7, 8, 2, 9, 6, 4, 7, 2, 2]"
D373,2024-01-19,50.81987767407187,"[3, 5, 7, 4, 4, 5, 5, 4, 5, 6, 5, 7, 8, 4, 5, 6, 9, 6, 0, 4, 2, 6, 9, 0]"
D100,2024-01-20,69.58128067908818,"[3, 0, 8, 2, 4, 4, 5, 4, 3, 2, 8, 4, 5, 5, 7, 5, 8, 5, 4, 6, 5, 1, 7, 4]"
D872,2024-01-21,85.83588048137199,"[4, 4, 6, 6, 4, 5, 4, 4, 8, 4, 7, 7, 9, 6, 5, 10, 8, 5, 6, 1, 10, 10, 3, 6]"
D664,2024-01-22,32.595890520188476,"[8, 1, 7, 6, 5, 5, 8, 2, 5, 5, 3, 5, 4, 3, 8, 4, 4, 2, 5, 6, 4, 4, 1, 3]"
D131,2024-01-24,22.02410475655483,"[5, 4, 5, 7, 8, 4, 6, 2, 7, 3, 9, 3, 5, 3, 7, 3, 6, 6, 3, 2, 4, 8, 5, 10]"
D662,2024-01-25,71.11495324380178,"[4, 1, 4, 7, 7, 6, 7, 7, 2, 2, 9, 1, 5, 7, 3, 8, 6, 7, 5, 3, 9, 5, 8, 12]"
D309,2024-01-26,80.95010461397155,"[5, 6, 2, 2, 8, 3, 5, 3, 5, 3, 4, 5, 6, 6, 8, 7, 6, 8, 9, 6, 7, 8, 2, 3]"
D770,2024-01-27,34.866598729172935,"[2, 4, 7, 7, 9, 6, 2, 4, 9, 3, 3, 9, 3, 7, 7, 3, 4, 1, 3, 5, 5, 6, 1, 6]"
D344,2024-01-28,9.617655109142076,"[6, 1, 3, 6, 8, 8, 8, 8, 2, 6, 4, 8, 11, 2, 5, 10, 4, 8, 4, 3, 6, 7, 4, 7]"
D492,2024-01-30,94.0523264489604,"[4, 3, 4, 6, 6, 8, 7, 2, 6, 4, 2, 9, 5, 3, 2, 6, 3, 6, 5, 2, 7, 6, 5, 8]"
D414,2024-01-31,39.75720210875223,"[3, 5, 5, 4, 3, 3, 5, 5, 6, 6, 6, 6, 7, 2, 5, 3, 1, 8, 0, 4, 3, 3, 2, 3]"
D806,2024-02-01,51.77513505274801,"[8, 6, 4, 6, 5, 1, 3, 3, 3, 9, 2, 3, 5, 4, 3, 3, 0, 2, 7, 4, 3, 11, 2, 6]"
D386,2024-02-02,83.7710105907328,"[11, 3, 5, 6, 4, 3, 10, 2, 4, 7, 6, 7, 5, 7, 1, 6, 5, 15, 6, 3, 2, 5, 7, 3]"
D192,2024-02-03,67.56901170392807,"[3, 4, 2, 3, 5, 7, 5, 7, 2, 6, 4, 2, 6, 3, 3, 4, 4, 5, 4, 6, 4, 7, 9, 3]"
D956,2024-02-05,73.5216119240772,"[4, 3, 4, 5, 2, 5, 10, 5, 5, 7, 5, 7, 3, 3, 6, 4, 4, 2, 2, 3, 4, 6, 4, 5]"
D277,2024-02-06,20.907162073771367,"[4, 5, 8, 4, 2, 2, 3, 6, 4, 3, 4, 3, 8, 4, 8, 4, 4, 1, 3, 8, 6, 6, 9, 4]"
D161,2024-02-07,54.14479738275658,"[3, 8, 3, 2, 2, 7, 5, 6, 5, 9, 4, 5, 7, 3, 8, 5, 5, 2, 8, 9, 3, 4, 4, 4]"
D460,2024-02-08,69.57843993450822,"[9, 5, 6, 7, 11, 10, 7, 4, 5, 4, 5, 6, 6, 0, 4, 4, 7, 9, 3, 3, 4, 3, 5, 7]"
D314,2024-02-10,22.855002179729965,"[2, 8, 5, 6, 4, 5, 9, 3, 4, 5, 4, 3, 9, 4, 5, 4, 5, 5, 9, 5, 8, 5, 2, 3]"
D022,2024-02-11,17.49549270959362,"[2, 5, 3, 3, 6, 6, 6, 5, 4, 2, 6, 5, 4, 4, 4, 7, 4, 5, 4, 3, 6, 7, 8, 3]"
D253,2024-02-12,98.21683433294356,"[3, 6, 3, 3, 3, 4, 4, 1, 5, 10, 4, 9, 2, 5, 9, 8, 2, 3, 3, 4, 2, 6, 2, 6]"
